sample_id,modality,start_position,end_position_exclusive,direction,delta_predicted_class_probability,delta_strength,raw_zero_fraction,mean_absolute_effect,normalized_share,text_excerpt,char_start,char_end_exclusive,time_start_seconds,time_end_seconds,location_status,source_video_file,video_frame_path,video_frame_timestamp_seconds,video_frame_index_zero_based
04,audio,6,9,counter,-0.006687045097351074,-0.018306255340576172,0.0,0.0030782893300056458,0.03851357498625983,the team exercise,16,33,1.18246875,1.96246875,自动CTC定位_需人工回听,04.mp4,,,
04,vision,13,16,support,0.015661537647247314,0.04743635654449463,0.0,0.0046851908167203265,0.05861809222603624,my chances of,49,62,2.74246875,3.34246875,自动CTC定位_需人工回听,04.mp4,results/frames/04_vision.png,3.033333333333333,91
05,text,13,16,support,0.0675499439239502,0.08083134889602661,0.0,0.03289741277694702,0.5719236961169009,Wagon Marketing.,45,61,4.64246875,5.44246875,自动CTC定位_需人工回听,05.mp4,,,
05,audio,5,8,support,0.029314637184143066,0.0519181489944458,0.0,0.011095675138326792,0.19289904586269352,"is Chloe,",12,21,2.30246875,2.76246875,自动CTC定位_需人工回听,05.mp4,,,
05,vision,2,5,support,0.03365755081176758,0.0597379207611084,0.0,0.01352754464516273,0.2351772580204056,", my name",2,11,1.26246875,2.24246875,自动CTC定位_需人工回听,05.mp4,results/frames/05_vision.png,1.7666666666666666,53
06,text,21,24,support,0.15170934796333313,0.3223136365413666,0.0,0.046826029365712944,0.8440015707946146,impressive dance moves,79,101,3.96246875,5.12246875,自动CTC定位_需人工回听,06.mp4,,,
06,audio,19,22,support,0.010875999927520752,0.026224613189697266,0.0,0.004157859267610492,0.07494207389652695,", see impressive",73,89,3.22246875,4.40246875,自动CTC定位_需人工回听,06.mp4,,,
06,vision,12,15,counter,-0.009333431720733643,-0.014813423156738281,0.0,0.004497085556839452,0.08105635530885852,", just like",40,51,1.84246875,2.46246875,自动CTC定位_需人工回听,06.mp4,results/frames/06_vision.png,2.1666666666666665,65
07,text,19,22,support,0.08267557621002197,0.17210179567337036,0.0,0.015667708023734715,0.7406423461945864,attendees “enthusiastically,76,103,5.00246875,7.02246875,自动定位质量警示_需人工回听,07.mp4,,,
07,audio,22,25,support,0.017092585563659668,0.035774171352386475,0.0,0.003198070370632669,0.15117886668634514,discussed the topics,104,124,7.10246875,8.14246875,自动定位质量警示_需人工回听,07.mp4,,,
07,vision,17,20,support,0.006595134735107422,0.016777217388153076,0.0,0.0022884374079496965,0.10817878711906861,"issue, attendees",69,85,4.04246875,5.56246875,自动定位质量警示_需人工回听,07.mp4,results/frames/07_vision.png,4.8,144
08,text,7,10,support,0.1484229564666748,0.23047757148742676,0.0,0.068953984313541,0.774577121053074,the Universal Design,27,47,1.84246875,3.04246875,自动CTC定位_需人工回听,08.mp4,,,
08,audio,1,4,support,0.02569037675857544,0.04579406976699829,0.0,0.009433501296573214,0.10596884789897772,That brings us,0,14,0.64246875,1.20246875,自动CTC定位_需人工回听,08.mp4,,,
08,vision,5,8,counter,-0.0157240629196167,-0.026299655437469482,0.0,0.010633971956041124,0.1194540310479482,"tonight, the",18,30,1.46246875,1.92246875,自动CTC定位_需人工回听,08.mp4,results/frames/08_vision.png,1.7,51
09,text,6,9,support,0.0983695387840271,-0.5110914707183838,0.0,0.03152301907539368,0.851706186138236,did not like,8,20,1.22246875,1.60246875,自动CTC定位_需人工回听,09.mp4,,,
09,audio,15,18,support,0.009734928607940674,-0.062140464782714844,0.0,0.003251437097787857,0.08784910745388959,would not recommend,42,61,2.88246875,3.62246875,自动CTC定位_需人工回听,09.mp4,,,
09,vision,16,19,support,0.00567859411239624,-0.036599159240722656,0.0,0.00223715603351593,0.06044470640787444,not recommend it,48,64,3.04246875,4.34246875,自动CTC定位_需人工回听,09.mp4,results/frames/09_vision.png,3.7,111
10,text,28,31,support,0.12112569808959961,-0.6797971725463867,0.0,0.03254214142050062,0.8730673676610485,was pretty terrible,110,129,7.50246875,9.18246875,自动CTC定位_需人工回听,10.mp4,,,
10,audio,18,21,support,0.014121294021606445,-0.14434707164764404,0.0,0.0026028965200696674,0.06983265125999716,so I',73,78,5.04246875,5.2424687500000005,自动CTC定位_需人工回听,10.mp4,,,
10,vision,15,18,counter,-0.009983301162719727,0.017351984977722168,0.0,0.0021283073084695,0.05709998107895421,flicks sometimes,56,72,3.90246875,4.96246875,自动CTC定位_需人工回听,10.mp4,results/frames/10_vision.png,4.433333333333334,133
11,text,2,5,support,0.2934127449989319,-0.6563418507575989,0.0,0.1155108114083608,0.9266029468537458,would be ashamed,2,18,0.62246875,1.34246875,自动CTC定位_需人工回听,11.mp4,,,
11,audio,10,13,support,0.014841794967651367,-0.05444204807281494,0.0,0.005496586362520854,0.04409243653515957,if I was,42,50,4.42246875,4.70246875,自动CTC定位_需人工回听,11.mp4,,,
11,vision,3,6,support,0.005583763122558594,-0.025073647499084473,0.0,0.0036531289418538413,0.029304616611094687,be ashamed to,8,21,0.78246875,3.28246875,自动CTC定位_需人工回听,11.mp4,results/frames/11_vision.png,2.033333333333333,61
12,text,2,5,support,0.11214837431907654,-0.33304768800735474,0.0,0.02548302263021469,0.7207957589744596,"worse, an",3,12,0.72246875,1.20246875,自动CTC定位_需人工回听,12.mp4,,,
12,audio,12,15,support,0.03733271360397339,-0.10421645641326904,0.0,0.007791354507207871,0.2203810500408703,usually by no,56,69,4.64246875,5.46246875,自动CTC定位_需人工回听,12.mp4,,,
12,vision,34,37,support,0.006940960884094238,-0.026816487312316895,0.0,0.0020796358585357666,0.058823190984670135,"g, and",153,159,9.94246875,10.74246875,自动CTC定位_需人工回听,12.mp4,results/frames/12_vision.png,10.333333333333334,310
13,text,27,30,counter,-0.08309650421142578,-0.12792879343032837,0.0,0.02858017065695354,0.7928679219064741,factors or more,115,130,7.28246875,8.60246875,自动CTC定位_需人工回听,13.mp4,,,
13,audio,10,13,support,0.02504447102546692,0.042113274335861206,0.0,0.007279134222439357,0.20193693359978643,data and from,35,48,1.72246875,3.44246875,自动CTC定位_需人工回听,13.mp4,,,
13,vision,,,no_nonzero_feature_window,,,1.0,0.0,0.005195144493739455,,,,,,原始非零窗口不存在,13.mp4,,,
14,text,28,31,support,0.04838591814041138,0.07462507486343384,0.0,0.015884451793901848,0.7673878716654513,courses at Toronto,120,138,6.96246875,8.76246875,自动CTC定位_需人工回听,14.mp4,,,
14,audio,10,13,support,0.006508767604827881,0.006359398365020752,0.0,0.0024058800755125103,0.11622958189458236,and Vettes,31,41,2.04246875,2.46246875,自动CTC定位_需人工回听,14.mp4,,,
14,vision,33,36,support,0.013953447341918945,0.029868900775909424,0.0,0.0024090463464910335,0.11638254643996616,York University.,141,157,8.80246875,9.60246875,自动CTC定位_需人工回听,14.mp4,results/frames/14_vision.png,9.2,276
15,text,3,6,counter,-0.11012420058250427,-0.3263567388057709,0.0,0.04506621862712659,0.8449354743664166,despite their poverty,9,30,0.78246875,1.76246875,自动定位质量警示_需人工回听,15.mp4,,,
15,audio,1,4,support,0.015587449073791504,0.03351076692342758,0.0,0.0037271474537096524,0.06987937301529348,"However, despite",0,16,0.08246875000000001,1.20246875,自动定位质量警示_需人工回听,15.mp4,,,
15,vision,19,22,support,0.02443993091583252,0.06067640334367752,0.0,0.004543509922529522,0.08518515261828999,to transform lives,99,117,6.42246875,7.28246875,自动定位质量警示_需人工回听,15.mp4,results/frames/15_vision.png,6.866666666666666,206
16,text,5,8,support,0.09537017345428467,-0.4284186363220215,0.0,0.03968840175204807,0.6424367870506398,"terrible, this",7,21,0.8024687500000001,1.58246875,自动CTC定位_需人工回听,16.mp4,,,
16,audio,9,12,support,0.03921222686767578,-0.1563572883605957,0.0,0.01663864983452691,0.2693300881031956,a terrible movie,25,41,1.72246875,2.5024687500000002,自动CTC定位_需人工回听,16.mp4,,,
16,vision,5,8,support,0.007820069789886475,-0.04835796356201172,0.0,0.005450858010186089,0.08823312484616459,"terrible, this",7,21,0.8024687500000001,1.58246875,自动CTC定位_需人工回听,16.mp4,results/frames/16_vision.png,1.2,36
17,text,6,9,support,0.03605097532272339,0.0915299654006958,0.0,0.011293974789706144,0.7388614464632829,to your presentations,36,57,2.82246875,3.82246875,自动CTC定位_需人工回听,17.mp4,,,
17,audio,9,12,support,0.009170830249786377,0.04464912414550781,0.0,0.002575484189120206,0.1684903684264539,"is simple,",58,68,4.34246875,5.10246875,自动CTC定位_需人工回听,17.mp4,,,
17,vision,20,23,counter,-0.0066239237785339355,-0.05914032459259033,0.0,0.0014161873947490346,0.09264818511026313,into a design,112,125,8.08246875,8.64246875,自动CTC定位_需人工回听,17.mp4,results/frames/17_vision.png,8.366666666666667,251
18,text,27,30,support,0.05538621544837952,-0.11094233393669128,0.0,0.011622291544209356,0.7417320416314765,has been denied,114,129,8.68246875,9.42246875,自动定位质量警示_需人工回听,18.mp4,,,
18,audio,2,5,support,0.010917484760284424,-0.01986423134803772,0.0,0.0023144068925277047,0.1477049291897898,And in Denmark,1,15,0.5624687500000001,1.20246875,自动定位质量警示_需人工回听,18.mp4,,,
18,vision,24,27,support,0.002808809280395508,-0.001836925745010376,0.0,0.0017324258451876433,0.11056302917873354,erel Fishery,101,113,7.82246875,8.58246875,自动定位质量警示_需人工回听,18.mp4,results/frames/18_vision.png,8.2,246
19,text,15,18,counter,-0.10675036907196045,-0.29482412338256836,0.0,0.030047253982440847,0.8069470923927198,unfortunately some hate,75,98,5.34246875,6.7424687500000005,自动CTC定位_需人工回听,19.mp4,,,
19,audio,23,26,support,0.019157588481903076,0.05474215745925903,0.0,0.004619593555862839,0.1240635031114029,point fingers and,119,136,8.20246875,9.08246875,自动CTC定位_需人工回听,19.mp4,,,
19,vision,21,24,support,0.024099409580230713,0.07356417179107666,0.0,0.0025688699773840002,0.06898940449587727,love to point,111,124,7.60246875,8.40246875,自动CTC定位_需人工回听,19.mp4,results/frames/19_vision.png,8.0,240
20,text,14,17,support,0.0395779013633728,0.03976452350616455,0.0,0.014582676131550858,0.838333619995263,video for more,60,74,2.96246875,3.78246875,自动CTC定位_需人工回听,20.mp4,,,
20,audio,40,43,support,0.0076274871826171875,0.026734113693237305,0.0,0.001385662613845453,0.0796594222266127,the day today,158,171,9.22246875,9.68246875,自动CTC定位_需人工回听,20.mp4,,,
20,vision,23,26,support,0.008194327354431152,0.019899964332580566,0.0,0.0014264976106038907,0.08200695777812433,more live updates,91,108,5.22246875,6.44246875,自动CTC定位_需人工回听,20.mp4,results/frames/20_vision.png,5.833333333333333,175
