id,duration_s,word_count,text_dim,audio_dim,vision_dim,alignment_granularity,aligned_words,audio_valid_words,vision_valid_words,alignment_confidence_mean,low_confidence_words,face_detection_rate,multiface_frames,audio_frames,video_sampled_frames,status,warnings,warning_explanation,label,annotation,feature_file,feature_bytes
-NFrJFQijFE$_$2,6.856,18,768,50,110,word,18,18,0,0.006,18,0.0,0,681,68,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.0,Neutral,features/-NFrJFQijFE$_$2.npz,109706
-THoVjtIkeU$_$12,14.8961,39,768,50,110,word,39,39,39,0.9586,1,1.0,0,1485,149,review_required,low_alignment_confidence,部分词对齐分数低,2.0,Positive,features/-THoVjtIkeU$_$12.npz,295239
-THoVjtIkeU$_$2,4.292,10,768,50,110,word,10,10,10,0.9099,0,1.0,0,425,43,ok,,,1.3333333730697632,Positive,features/-THoVjtIkeU$_$2.npz,84541
-THoVjtIkeU$_$6,8.0971,30,768,50,110,word,30,30,30,0.8661,3,1.0,0,805,81,review_required,low_alignment_confidence,部分词对齐分数低,2.6666667461395264,Positive,features/-THoVjtIkeU$_$6.npz,194252
-UuX1xuaiiE$_$1,10.35,27,768,50,110,word,27,27,1,0.9387,0,0.0481,0,1031,104,review_required,some_words_without_valid_face,部分词区间无人脸特征,1.6666666269302368,Positive,features/-UuX1xuaiiE$_$1.npz,175834
-UuX1xuaiiE$_$0,3.6334,9,768,50,110,word,9,9,6,0.7398,1,0.4865,0,359,37,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,2.6666667461395264,Positive,features/-UuX1xuaiiE$_$0.npz,69498
-UuX1xuaiiE$_$3,4.1301,9,768,50,110,word,9,9,9,0.826,0,1.0,0,409,41,ok,,,0.3333333432674408,Positive,features/-UuX1xuaiiE$_$3.npz,79978
-UuX1xuaiiE$_$6,8.114,22,768,50,110,word,22,22,22,0.8128,2,1.0,0,807,81,review_required,low_alignment_confidence,部分词对齐分数低,-0.3333333432674408,Negative,features/-UuX1xuaiiE$_$6.npz,165743
-a55Q6RWvTA$_$3,22.154,65,768,50,110,word,65,65,61,0.9014,2,0.8874,0,2211,222,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.6666666865348816,Positive,features/-a55Q6RWvTA$_$3.npz,465864
-aNfi7CP8vM$_$7,8.695,18,768,50,110,word,18,18,18,0.9499,0,1.0,0,865,87,ok,,,0.0,Neutral,features/-aNfi7CP8vM$_$7.npz,161968
-aqamKhZ1Ec$_$0,10.9667,14,768,50,110,word,14,14,14,0.8258,0,1.0,0,1092,110,review_required,numeric_pronunciation_needs_review,数字读法需回听核对,-2.0,Negative,features/-aqamKhZ1Ec$_$0.npz,164813
-dxfTGcXJoc$_$1,16.1611,36,768,50,110,word,36,36,36,0.9207,0,1.0,0,1612,162,review_required,numeric_pronunciation_needs_review,数字读法需回听核对,1.6666666269302368,Positive,features/-dxfTGcXJoc$_$1.npz,300068
-dxfTGcXJoc$_$0,20.5,40,768,50,110,word,40,40,32,0.9093,0,0.7767,0,2046,206,review_required,numeric_pronunciation_needs_review;some_words_without_valid_face,数字读法需回听核对；部分词区间无人脸特征,1.0,Positive,features/-dxfTGcXJoc$_$0.npz,345987
-dxfTGcXJoc$_$2,16.698,34,768,50,110,word,34,34,34,0.9278,1,1.0,0,1665,167,review_required,numeric_pronunciation_needs_review;low_alignment_confidence,数字读法需回听核对；部分词对齐分数低,0.6666666865348816,Positive,features/-dxfTGcXJoc$_$2.npz,299670
-dxfTGcXJoc$_$6,12.7351,28,768,50,110,word,28,28,28,0.9164,1,1.0,0,1269,128,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-dxfTGcXJoc$_$6.npz,236137
-egA8-b7-3M$_$26,6.031,15,768,50,110,word,15,15,15,0.8963,0,1.0,0,599,60,ok,,,1.6666666269302368,Positive,features/-egA8-b7-3M$_$26.npz,122525
-egA8-b7-3M$_$17,7.2711,16,768,50,110,word,16,16,16,0.9587,0,1.0,0,723,73,ok,,,0.3333333432674408,Positive,features/-egA8-b7-3M$_$17.npz,137473
-egA8-b7-3M$_$18,8.3861,22,768,50,110,word,22,22,22,0.9481,0,1.0,0,834,84,ok,,,1.0,Positive,features/-egA8-b7-3M$_$18.npz,171076
-egA8-b7-3M$_$16,5.5381,11,768,50,110,word,11,11,11,0.9882,0,1.0,0,549,56,ok,,,0.6666666865348816,Positive,features/-egA8-b7-3M$_$16.npz,103509
-egA8-b7-3M$_$13,4.184,11,768,50,110,word,11,11,11,0.9098,0,1.0,0,414,42,ok,,,0.3333333432674408,Positive,features/-egA8-b7-3M$_$13.npz,86672
-egA8-b7-3M$_$1,10.2661,20,768,50,110,word,20,20,20,0.9335,0,1.0,0,1022,103,review_required,numeric_pronunciation_needs_review,数字读法需回听核对,0.6666666865348816,Positive,features/-egA8-b7-3M$_$1.npz,186022
-egA8-b7-3M$_$6,6.265,12,768,50,110,word,12,12,12,0.8977,0,1.0,0,622,63,ok,,,0.6666666865348816,Positive,features/-egA8-b7-3M$_$6.npz,114800
-egA8-b7-3M$_$9,5.09,10,768,50,110,word,10,10,10,0.9932,0,1.0,0,505,51,ok,,,0.3333333432674408,Positive,features/-egA8-b7-3M$_$9.npz,94146
-egA8-b7-3M$_$20,6.645,20,768,50,110,word,20,20,20,0.9621,0,1.0,0,660,66,ok,,,0.3333333432674408,Positive,features/-egA8-b7-3M$_$20.npz,144346
-iRBcNs9oI8$_$3,5.621,8,768,50,110,word,8,8,0,0.1279,7,0.0,0,558,56,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.6666666865348816,Positive,features/-iRBcNs9oI8$_$3.npz,78255
-iRBcNs9oI8$_$7,4.104,9,768,50,110,word,9,9,0,0.0023,9,0.0,0,406,41,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.6666666865348816,Positive,features/-iRBcNs9oI8$_$7.npz,67822
-iRBcNs9oI8$_$6,2.903,5,768,50,110,word,5,5,0,0.2,4,0.0,0,286,29,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.3333333432674408,Positive,features/-iRBcNs9oI8$_$6.npz,45544
-iRBcNs9oI8$_$9,3.416,5,768,50,110,word,5,5,0,0.0003,5,0.0,0,337,34,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,1.3333333730697632,Positive,features/-iRBcNs9oI8$_$9.npz,48335
-iRBcNs9oI8$_$8,8.093,21,768,50,110,word,21,21,0,0.0648,19,0.0,0,805,81,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,1.0,Positive,features/-iRBcNs9oI8$_$8.npz,139393
-lzEya4AM_4$_$5,7.675,19,768,50,110,word,19,19,19,0.8381,1,1.0,0,763,77,review_required,low_alignment_confidence,部分词对齐分数低,-0.6666666865348816,Negative,features/-lzEya4AM_4$_$5.npz,151412
-lzEya4AM_4$_$6,14.792,43,768,50,110,word,43,43,43,0.9264,1,0.9865,0,1475,148,review_required,low_alignment_confidence,部分词对齐分数低,-0.3333333432674408,Negative,features/-lzEya4AM_4$_$6.npz,309088
-mJ2ud6oKI8$_$1,6.103,13,768,50,110,word,13,13,0,0.0125,13,0.0,0,606,61,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.0,Neutral,features/-mJ2ud6oKI8$_$1.npz,45459
-mJ2ud6oKI8$_$2,5.731,11,768,50,110,word,11,11,0,0.01,11,0.0,0,569,57,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.0,Neutral,features/-mJ2ud6oKI8$_$2.npz,39544
-mJ2ud6oKI8$_$6,2.257,5,768,50,110,word,5,5,5,0.013,5,1.0,0,221,23,review_required,low_alignment_confidence,部分词对齐分数低,0.3333333432674408,Positive,features/-mJ2ud6oKI8$_$6.npz,46274
-mJ2ud6oKI8$_$9,7.033,22,768,50,110,word,22,22,22,0.0516,21,1.0,0,699,70,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-mJ2ud6oKI8$_$9.npz,152246
-mJ2ud6oKI8$_$8,4.192,11,768,50,110,word,11,11,11,0.0038,11,1.0,0,415,42,review_required,low_alignment_confidence,部分词对齐分数低,-0.3333333432674408,Negative,features/-mJ2ud6oKI8$_$8.npz,86945
-mqbVkbCndg$_$0,6.4667,14,768,50,110,word,14,14,14,0.988,0,1.0,0,642,65,ok,,,0.0,Neutral,features/-mqbVkbCndg$_$0.npz,122490
-t217m2on-s$_$2,5.6861,12,768,50,110,word,12,12,12,0.824,1,1.0,0,564,57,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-t217m2on-s$_$2.npz,107962
-t217m2on-s$_$7,17.1831,45,768,50,110,word,45,45,45,0.9694,0,1.0,0,1714,172,ok,,,-0.6666666865348816,Negative,features/-t217m2on-s$_$7.npz,343198
-tANM6ETl_M$_$3,6.7581,22,768,50,110,word,22,22,22,0.8937,1,1.0,0,671,68,review_required,low_alignment_confidence,部分词对齐分数低,0.3333333432674408,Positive,features/-tANM6ETl_M$_$3.npz,154152
-tPCytz4rww$_$11,5.467,17,768,50,110,word,17,17,17,0.8387,2,1.0,0,542,55,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-tPCytz4rww$_$11.npz,124195
-tPCytz4rww$_$10,4.789,12,768,50,110,word,12,12,12,0.9653,0,1.0,0,474,48,ok,,,0.0,Neutral,features/-tPCytz4rww$_$10.npz,96069
-tPCytz4rww$_$12,11.864,26,768,50,110,word,26,26,26,0.8484,2,1.0,0,1182,119,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-tPCytz4rww$_$12.npz,222399
-tPCytz4rww$_$16,7.206,16,768,50,110,word,16,16,16,0.8865,1,1.0,0,716,72,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-tPCytz4rww$_$16.npz,136603
-tPCytz4rww$_$18,6.645,16,768,50,110,word,16,16,16,0.9481,0,1.0,0,660,67,ok,,,0.0,Neutral,features/-tPCytz4rww$_$18.npz,133445
-vxjVxOeScU$_$4,9.1271,21,768,50,110,word,21,21,21,0.8288,3,1.0,0,908,91,review_required,low_alignment_confidence,部分词对齐分数低,1.0,Positive,features/-vxjVxOeScU$_$4.npz,179160
-wMB_hJL-3o$_$7,6.0441,22,768,50,110,word,22,22,22,0.9501,0,0.9672,0,600,61,ok,,,0.3333333432674408,Positive,features/-wMB_hJL-3o$_$7.npz,144557
-wny0OAz3g8$_$1,6.8441,22,768,50,110,word,22,22,1,0.9789,0,0.1739,0,680,69,review_required,some_words_without_valid_face,部分词区间无人脸特征,0.3333333432674408,Positive,features/-wny0OAz3g8$_$1.npz,135576
-wny0OAz3g8$_$0,3.3334,9,768,50,110,word,9,9,9,0.9651,0,0.8235,0,329,34,ok,,,0.3333333432674408,Positive,features/-wny0OAz3g8$_$0.npz,72211
-wny0OAz3g8$_$3,6.1461,20,768,50,110,word,20,20,0,0.9684,0,0.1774,0,610,62,review_required,some_words_without_valid_face,部分词区间无人脸特征,-1.3333333730697632,Negative,features/-wny0OAz3g8$_$3.npz,125204
-wny0OAz3g8$_$2,6.687,23,768,50,110,word,23,23,23,0.965,0,0.8209,0,664,67,ok,,,-0.3333333432674408,Negative,features/-wny0OAz3g8$_$2.npz,155740
-wny0OAz3g8$_$5,6.912,20,768,50,110,word,20,20,1,0.9154,0,0.1739,0,687,69,review_required,some_words_without_valid_face,部分词区间无人脸特征,1.0,Positive,features/-wny0OAz3g8$_$5.npz,128921
-wny0OAz3g8$_$7,8.068,29,768,50,110,word,29,29,10,0.9211,0,0.2222,0,802,81,review_required,some_words_without_valid_face,部分词区间无人脸特征,0.0,Neutral,features/-wny0OAz3g8$_$7.npz,171743
-wny0OAz3g8$_$9,6.2131,20,768,50,110,word,20,20,20,0.9336,0,0.9032,0,617,62,ok,,,0.6666666865348816,Positive,features/-wny0OAz3g8$_$9.npz,141891
-571d8cVauQ$_$0,5.0667,12,768,50,110,word,12,12,12,0.7135,2,0.9615,0,502,52,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-571d8cVauQ$_$0.npz,98702
-571d8cVauQ$_$5,15.273,43,768,50,110,word,43,43,43,0.9138,1,1.0,0,1523,153,review_required,low_alignment_confidence,部分词对齐分数低,0.3333333432674408,Positive,features/-571d8cVauQ$_$5.npz,315404
-I_e4mIh0yE$_$1,7.6221,18,768,50,110,word,18,18,18,0.9843,0,1.0,0,758,76,ok,,,-0.6666666865348816,Negative,features/-I_e4mIh0yE$_$1.npz,145791
-I_e4mIh0yE$_$3,9.1631,22,768,50,110,word,22,22,22,0.8408,1,1.0,0,912,91,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-I_e4mIh0yE$_$3.npz,174356
-UacrmKiTn4$_$10,7.362,18,768,50,110,word,18,18,18,0.9385,0,1.0,0,732,74,ok,,,-0.6666666865348816,Negative,features/-UacrmKiTn4$_$10.npz,147253
-UacrmKiTn4$_$4,4.7411,14,768,50,110,word,14,14,14,0.9931,0,1.0,0,470,48,ok,,,-1.3333333730697632,Negative,features/-UacrmKiTn4$_$4.npz,104131
-hnBHBN8p5A$_$7,7.372,13,768,50,110,word,13,13,0,0.0031,13,0.0,0,733,73,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.6666666865348816,Positive,features/-hnBHBN8p5A$_$7.npz,103652
-hnBHBN8p5A$_$6,6.401,13,768,50,110,word,13,13,0,0.0778,12,0.0,0,636,64,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,1.0,Positive,features/-hnBHBN8p5A$_$6.npz,94432
-qDkUB0GgYY$_$6,4.678,16,768,50,110,word,16,16,16,0.6676,3,1.0,0,463,47,review_required,low_alignment_confidence,部分词对齐分数低,1.3333333730697632,Positive,features/-qDkUB0GgYY$_$6.npz,111666
-uywlfIYOS8$_$4,6.045,18,768,50,110,word,18,18,18,0.902,0,1.0,0,600,61,ok,,,0.3333333432674408,Positive,features/-uywlfIYOS8$_$4.npz,133880
-6rXp3zJ3kc$_$8,12.8051,34,768,50,110,word,34,34,34,0.9514,0,1.0,0,1276,128,ok,,,-1.0,Negative,features/-6rXp3zJ3kc$_$8.npz,262701
-9y-fZ3swSY$_$0,6.8334,22,768,50,110,word,22,22,22,0.6323,4,0.971,0,679,69,review_required,low_alignment_confidence,部分词对齐分数低,1.0,Positive,features/-9y-fZ3swSY$_$0.npz,154851
-9y-fZ3swSY$_$4,2.8211,9,768,50,110,word,9,9,9,0.4965,2,0.8571,0,278,28,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-9y-fZ3swSY$_$4.npz,63526
-9y-fZ3swSY$_$8,4.989,12,768,50,110,word,12,12,5,0.8757,0,0.24,0,494,50,review_required,some_words_without_valid_face,部分词区间无人脸特征,1.6666666269302368,Positive,features/-9y-fZ3swSY$_$8.npz,87425
-AUZQgSxyPQ$_$2,22.5111,41,768,50,110,word,41,41,41,0.7102,3,1.0,0,2247,225,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-AUZQgSxyPQ$_$2.npz,370424
-HeZS2-Prhc$_$2,8.262,16,768,50,110,word,16,16,16,0.7921,1,1.0,0,822,83,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-HeZS2-Prhc$_$2.npz,147526
-MeTTeMJBNc$_$0,9.3,21,768,50,110,word,21,21,21,0.9356,0,0.9894,0,926,94,ok,,,0.3333333432674408,Positive,features/-MeTTeMJBNc$_$0.npz,175305
-MeTTeMJBNc$_$13,5.4301,14,768,50,110,word,14,14,14,0.9671,0,1.0,0,539,54,ok,,,0.3333333432674408,Positive,features/-MeTTeMJBNc$_$13.npz,107871
-MeTTeMJBNc$_$7,10.517,31,768,50,110,word,31,31,31,0.8951,1,1.0,0,1047,105,review_required,low_alignment_confidence,部分词对齐分数低,1.3333333730697632,Positive,features/-MeTTeMJBNc$_$7.npz,224719
-RfYyzHpjk4$_$11,5.239,17,768,50,110,word,17,17,17,0.8891,0,1.0,0,519,52,ok,,,2.0,Positive,features/-RfYyzHpjk4$_$11.npz,120277
-RfYyzHpjk4$_$8,4.589,17,768,50,110,word,17,17,17,0.9364,0,1.0,0,454,46,ok,,,0.3333333432674408,Positive,features/-RfYyzHpjk4$_$8.npz,113419
-RfYyzHpjk4$_$2,5.5161,25,768,50,110,word,25,25,24,0.6722,4,0.8182,0,547,55,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.3333333432674408,Positive,features/-RfYyzHpjk4$_$2.npz,147670
-UUCSKoHeMA$_$0,7.8,18,768,50,110,word,18,18,18,0.8882,0,0.9873,0,776,79,ok,,,0.0,Neutral,features/-UUCSKoHeMA$_$0.npz,149347
-ri04Z7vwnc$_$0,2.807,8,768,50,110,word,8,8,0,0.0312,7,0.0,0,276,28,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.0,Neutral,features/-ri04Z7vwnc$_$0.npz,56060
-ri04Z7vwnc$_$2,6.027,16,768,50,110,word,16,16,8,0.0029,16,0.3667,0,598,60,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,-0.3333333432674408,Negative,features/-ri04Z7vwnc$_$2.npz,117808
-ri04Z7vwnc$_$5,3.545,8,768,50,110,word,8,8,8,0.0061,8,1.0,0,350,35,review_required,low_alignment_confidence,部分词对齐分数低,0.3333333432674408,Positive,features/-ri04Z7vwnc$_$5.npz,71660
-s9qJ7ATP7w$_$1,4.792,11,768,50,110,word,11,11,11,0.8609,1,0.9583,0,475,48,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-s9qJ7ATP7w$_$1.npz,91398
-s9qJ7ATP7w$_$0,6.8,24,768,50,110,word,24,24,24,0.7959,1,0.9855,0,676,69,review_required,low_alignment_confidence,部分词对齐分数低,-0.3333333432674408,Negative,features/-s9qJ7ATP7w$_$0.npz,160456
-s9qJ7ATP7w$_$5,8.5611,19,768,50,110,word,19,19,19,0.9209,1,0.9882,0,852,85,review_required,low_alignment_confidence,部分词对齐分数低,-2.0,Negative,features/-s9qJ7ATP7w$_$5.npz,162229
-s9qJ7ATP7w$_$4,4.4271,9,768,50,110,word,9,9,6,0.8414,1,0.6591,0,438,44,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.0,Neutral,features/-s9qJ7ATP7w$_$4.npz,77262
-s9qJ7ATP7w$_$7,6.9661,28,768,50,110,word,28,28,14,0.7247,4,0.5714,0,692,70,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,1.0,Positive,features/-s9qJ7ATP7w$_$7.npz,160972
-s9qJ7ATP7w$_$6,2.475,5,768,50,110,word,5,5,5,0.9333,0,0.76,0,243,25,ok,,,0.0,Neutral,features/-s9qJ7ATP7w$_$6.npz,44717
-s9qJ7ATP7w$_$8,3.295,12,768,50,110,word,12,12,12,0.8202,0,1.0,0,325,33,ok,,,1.3333333730697632,Positive,features/-s9qJ7ATP7w$_$8.npz,80525
-yRb-Jum7EQ$_$1,29.2881,49,768,50,110,word,49,49,49,0.0743,42,0.9317,20,2924,293,review_required,low_alignment_confidence;multiple_faces_largest_face_selected,部分词对齐分数低；多人脸画面需确认说话人,0.0,Neutral,features/-yRb-Jum7EQ$_$1.npz,475248
-yRb-Jum7EQ$_$5,13.1691,25,768,50,110,word,25,25,25,0.0657,23,1.0,0,1312,132,review_required,low_alignment_confidence,部分词对齐分数低,-0.6666666865348816,Negative,features/-yRb-Jum7EQ$_$5.npz,232522
-yRb-Jum7EQ$_$6,11.2426,19,768,50,110,word,19,19,19,0.0323,18,1.0,0,1120,112,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-yRb-Jum7EQ$_$6.npz,185500
