id,source_transcript,greedy_asr_for_diagnosis,mean_forced_path_score,low_score_words,diagnosis,source_transcript_modified
-NFrJFQijFE$_$2,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,HAWK'S SENSE OF HERIN IS EXCELLENT AND THEIR EYES SAC,0.006,18,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-THoVjtIkeU$_$12,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",AM WHATEVER WE TURN OUR ATTENTION TO IS WHAT GROWS AND SO IF WE BELIEVE THAT ANYTHING IS POSSIBLE IF WE BELIEVE THAT DAM SOCIAL JUSTICE CAN BE ACHIEVED AND IF WE BELIEVE IN YOUTH AH THEY WILL BELIEVE IN THEMSELVES,0.9586,1,按低分词及模态掩码复核,False
-THoVjtIkeU$_$2,I think social justice is extremely important for young people.,I THINK A SOCIAL JUSTICE IS EXTREMELY IMPORTANT FOR YOUNG PEOPLE,0.9099,0,按低分词及模态掩码复核,False
-THoVjtIkeU$_$6,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",YOU KNOW I THINK THAT LISTENING TO YOUNG PEOPLE TAKING IN WHAT THEY HAVE TO SAY BECAUSE WHAT WE'VE SEEN ALL AROUND THE WORLD IS THE POWER OF YOUTH,0.8661,3,按低分词及模态掩码复核,False
-UuX1xuaiiE$_$1,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,AND ALL OF THEM ARE REALLY BEING ABLE TO EXPLORE THESE DIFFERENT AREAS IN IN DEPTH IN A WAY THAT REALLY WASN'T AVAILABLE BEFORE THE CENTRE WAS HERE THE WORK OF,0.9387,0,按低分词及模态掩码复核,False
-UuX1xuaiiE$_$0,^it's amazing to see their enthusiasm and their passion,AMAZING TO SEE THEIR ENTHUSIASM IN THEIR PASSION,0.7398,1,按低分词及模态掩码复核,False
-UuX1xuaiiE$_$3,My goal is to become a human rights lawyer,SIDE MY GOAL IS CHSE BECOME A HUMAN RIGHT'S LAWYER T,0.826,0,按低分词及模态掩码复核,False
-UuX1xuaiiE$_$6,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",I ENTED UP GOING TO WORK FOR THE U S GOVERNMENT HAS AN INTELLIGENCE INTALIST A SPECIALIZING IN WAR CRIMES OF HUMAN RITS OFSHIPS,0.8128,2,按低分词及模态掩码复核,False
-a55Q6RWvTA$_$3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",AND A YOU CLIP COUPONS IF YOU DON'T GO OUT FOR DINNER AND MOVIES AND THINGS OF THAT NATURE AND TRY TO TAKE UP THINGS IN LIFE THAT WELL THEY ALWAYS SAY THE BEST THINGS IN LIFE ARE FREE READING A BOOK A GOING FOR A NICE WALK AND OF COURSE COMBINING EXERCISE AND VARIOUS THINGS TAT NATURE WERE YOU'RE NOT SPENDING MONEY PER SAY,0.9014,2,按低分词及模态掩码复核,False
-aNfi7CP8vM$_$7,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",MAYBE THEY HAVE NOTIN THEY HAVE NO POLITICAL PARTY OFFILIATION THEY ARE NOT INTERESTED IN POLITICS THEY COULD CARE LESS ABOUT POLITICS OR,0.9499,0,按低分词及模态掩码复核,False
-aqamKhZ1Ec$_$0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",TWO THOUSAND AND OF EIHT THERE WERE VERY SERIOUS TRIBAL WARFARE IN ANYON AND AND EVEN AS THE TF FOLLOWING AT DISPUTED ELECTION AND EVEN,0.8258,0,按低分词及模态掩码复核,False
-dxfTGcXJoc$_$1,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",FOR THE TENTH STRAIGHT YEAR SOME OF KENTUCKY'S BEST AND MOST ENNOVATING BOTEC COMPANIES AND TECHNOLOGIES WERE ON DISPLAY AT THE ANNUAL BO INTERNATIONAL CONVENTION WHICH I AND OTHER STATE OFFICIALS ATTENDED THIS WEEK IN CHICAGO,0.9207,0,按低分词及模态掩码复核,False
-dxfTGcXJoc$_$0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",THIS IS GOVERNOR STEVE BISHR ABOUT KENTUCKY OUR STATE IS HOME TO MORE THAN FIFTEEN HUNDRED BAO SCIENCE AND LIFE SCIENCE COMPANIES AND MORE THAN A HUNDRED THOUSAND PEOPLE WHO WORK FOR THESE FIRMS IN AREAS FROM NEUTRAGENOMIKES AND PARMOSUTICLES TENANO TECHNOLOGY AND MEDICAL DEVICES,0.9093,0,按低分词及模态掩码复核,False
-dxfTGcXJoc$_$2,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",AN ESTIMATED TWENTY THOUSAND BAOTEC SCIENTISTS EXECUTIVES AND INDUSTRY EXPERTS FROM MORE THAN FIFTY NATIONS WERE AT THE BOW CONFERENCE TO LEARN ABOUT THE LATEST SCIENTIFIC ADVANCES AND TO EXCHANGE IDEAS AND ESTABLISH BUSINESS RELATIONSHIPS,0.9278,1,按低分词及模态掩码复核,False
-dxfTGcXJoc$_$6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,KENTUCKY'S PARTICIPATION AT THE ANNUAL BO INTERNATIONAL CONVENTION IS THE PRIMARY MEANS BY WHICH OUR HI TEC COMPANIES AND INSTITUTIONS CAN REACH OUT TO THE GLOBAL SCIENTIFIC COMMUNITY,0.9164,1,按低分词及模态掩码复核,False
-egA8-b7-3M$_$26,We're updating it all the time and looking forward to your comments on our videos.,WERE UPDATING IT ALL THE TIME AND LOOKING FORWARD TO YOUR COMMENTS ON ARVIDIOS,0.8963,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$17,"As you have more experience, you have more times exhibiting, you get to know more people.",AS YOU HAVE MORE EXPERIENCE YOU HAVE MORE TIMES EXHIBITING YOU GET TO NO MORE PEOPLE,0.9587,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$18,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,IT BECOMES EASIER AT EACH ONE OF THESE CONFERENCES TO CONNECT WITH PEOPLE THAT YOU'VE MET OR THAT YOU'RE DOING BUSINESS WIP,0.9481,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$16,"Third, another big benefit of exhibiting is connecting with existing clients.",THIRD ANOTHER BIG BENEFIT OF EXHIBITING IS CONNECTING WITH EXISTING CLIENTS,0.9882,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$13,"What are you doing that's different?"" They always want an answer.",WHAT ARE YOU DOING THAT'S DIFFERENT THEY ALWAYS WANT AN ANSWER,0.9098,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$1,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,IRE I HAVE STARTED A SUCCESSFUL LEGAL NURS CONSULTING BUSINESS IN NINETEEN EIGHTY NINE I MEANT TOR NURSES WHO WANT TO BECOME LEGAL NURS CONSULTANTS,0.9335,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$6,First exhibiting is a wonderful opportunity to network with other legal vendors.,FIRST EXHIBITING IS A WONDERFUL OPPORTUNITY TO NET WORK WITH OTHER LEGAL VENGERS,0.8977,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$9,"Secondly, another goal of exhibiting  is building your company image.",SECONDLY ANOTHER GOAL OF EXHIBITING IS BUILDING YOUR COMPANY IMAGE,0.9932,0,按低分词及模态掩码复核,False
-egA8-b7-3M$_$20,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",NOW YOU'VE GOT A FACE THAT YOU CAN CONNECT WITH A VOICE AND THAT MAKES YOU CLOSER TO THAT CLIENT,0.9621,0,按低分词及模态掩码复核,False
-iRBcNs9oI8$_$3,"Well, it is the secret of power pose",IS GOING TO HELP YOU ON YOUR TESTS SUCH AS TOFUL IALTS OR UNIVERSITY,0.1279,7,按低分词及模态掩码复核,False
-iRBcNs9oI8$_$7,"Well, for starters, let's look at the word ""power""",TERVIEW AND THE SECRET WILL ALSO HELP YOU IF YOU EVER,0.0023,9,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-iRBcNs9oI8$_$6,What is a power pose,HELP YOU IF YOU HAVE AN ENGLISH JOB INTERVIEW,0.2,4,按低分词及模态掩码复核,False
-iRBcNs9oI8$_$9,Power is similar to strength,OF POWER EPOSE,0.0003,5,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-iRBcNs9oI8$_$8,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",EVER DECIDE TO ASK OUT THAT SPECIALSOME ONE SO WHAT IS THE SECRET I'M TELLING YOU ABOUT WELL IT IS THE SECRET,0.0648,19,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-lzEya4AM_4$_$5,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",IF IT FALLS INTO ANY OF THOSE THREE CATEGORIES INDUCING NAUSEY AND VOMITING WOULD BE YOUR NEXT DOUT,0.8381,1,按低分词及模态掩码复核,False
-lzEya4AM_4$_$6,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",IF THE PRODUCT OR POISON O SOME TYPE OF PATROLEUM PRODUCT OR CORROSIVE PRODUCT YOU WOULD NOT ATTEMPT TO INDUCE VOMINING AND NAUSEA AS THE PRODUCT BURNED ON THE WAY DOWN IT COULD CAUSE DAMAGE AND BURNING ON THE WAY BACK UP,0.9264,1,按低分词及模态掩码复核,False
-mJ2ud6oKI8$_$1,There are a dozen or more hands on techniques that we can do,,0.0125,13,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-mJ2ud6oKI8$_$2,So physical therapists and chiropractors will do joint manipulations and mobilizations,,0.01,11,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-mJ2ud6oKI8$_$6,They are all very safe,THAT WE ALL WANT A PROACH REALLY ANY,0.013,5,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-mJ2ud6oKI8$_$9,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",WATION TO FIND OUT BECAUSE YOU MIGHT HAVE HIPPOTER A THRITUS BUT THAT YOU COULD ALSO HAVE OTHER A YOU KNOW DISFUNCTIONS ROUND YOUR,0.0516,21,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-mJ2ud6oKI8$_$8,Sometimes we have to stretch that joint that is already irritated,WE WANT O THYUATE THEM AN IL GIV EM A FULL THOROUGH AVALUATION TO FINT,0.0038,11,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-mqbVkbCndg$_$0,"How, at a particular moment in time—our moment in time—are they limited",HOW AT A PARTICULAR MOMENT IN TIME OUR MOMENT IN TIME ARE THEY LIMITED,0.988,0,按低分词及模态掩码复核,False
-t217m2on-s$_$2,"But a good thing to do is yawning, chewing gum is effective.",WHAT A A GOOD THING TO DO IS YAWNING A CHEWING GUM IS EFFECTIVE,0.824,1,按低分词及模态掩码复核,False
-t217m2on-s$_$7,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",IF YOU FIND THAT YOUR EARS PERCONSISTENTLY DO THIS AND YOU CAN'T POP THEM OFTEN YOU'LL DEFINITELYOU WANT NEED TO SEE A PHYSICIAN REGARDING THOSE THINGS IT COULD BE SOMETHING MORE OF A NASAL INFECTION OR A SINUS INFECTION THAT HE WOULD NEED TO DEAL WITH,0.9694,0,按低分词及模态掩码复核,False
-tANM6ETl_M$_$3,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",THE FIRST PLACE IS EITHER YOU HAVE A PROSPECT OR A CUSTOMER WHAS NEVER DONE IT BEFORE THEY'VE NEVER TRIED IT,0.8937,1,按低分词及模态掩码复核,False
-tPCytz4rww$_$11,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",OUH MAY SURE THAT YOUR USING COMPS THAT ARE NO LARGER NO LARGER THAN TWELVE HUNDRED SQUARE FEET NO LESS,0.8387,2,按低分词及模态掩码复核,False
-tPCytz4rww$_$10,Say twenty percent so if you've got a thousand square foot condo.,FOOTAGE SAY TWENTY PER CENT SO IF YOU'VE GET A THOUSAND SQUARE FOOT CONDO MAY,0.9653,0,按低分词及模态掩码复核,False
-tPCytz4rww$_$12,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",SQUARE FEET NO LESS THAN EIGHT HUNDRED SQUARE FEET AN GNTO BE SIMILAR IN AM SIMILAR WITH BEDROOMS AND BATHROOMS AS WELL AND AHOPEFULLY THE THE COMPLEXES HAVE SIMILAR AMENITIES MEANING,0.8484,2,按低分词及模态掩码复核,False
-tPCytz4rww$_$16,So make sure to get a through or to do a through cleaning of the property.,SO MAKE SURE TO GET A THOROUGH OM TO DO A THOROUGH CLEANING OF THE PROPERTY IF YOU NEED,0.8865,1,按低分词及模态掩码复核,False
-tPCytz4rww$_$18,Do so and as well you'll also want to remove any clutter from that you've accumulated.,T DO SO AND AS WELL A YOU'LL ALSO WANT TO REMOVE ANY CLUTTER FROM THE HOME THAT YOU'VE ACCUMULATED OVER,0.9481,0,按低分词及模态掩码复核,False
-vxjVxOeScU$_$4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",OR UNTO TALK ABOUT THEIR LIFE THEIR MARRIAGE E UNUSUALLY HOW AMAZING IT IS THAT THEY'VE STAYED TOGETHER THIS LONG WEDDING IN,0.8288,3,按低分词及模态掩码复核,False
-wMB_hJL-3o$_$7,So if you have a loved one who is depressed those are some of the things that you should think about doing.,SO IF YOU HAVE A LOVED ONE WHO IS DEPRESSED THOSE ARE SOME OF THE THINGS THAT YOU SHOULD THINK ABOUT DOING,0.9501,0,按低分词及模态掩码复核,False
-wny0OAz3g8$_$1,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",S TO JOIN AND BECAUSE THEY COULDN'T JOIN UNIONS MANY BLACK WORKERS COULDN'T GET MANUFACTURING OR TRADE WORK WHICH PAID MUCH BETTER THAN SERVICE WORK AND BECAUSE,0.9789,0,按低分词及模态掩码复核,False
-wny0OAz3g8$_$0,trade labor unions didn’t allow Black workers to join,TRADE LABOR UNIONS DIDN'T ALLOW BLACK WORKERS TO JOIN AND BECAUSE,0.9651,0,按低分词及模态掩码复核,False
-wny0OAz3g8$_$3,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,W BEHAVIORWHICH THEN ALLOWED THE WHITE WORKERS AND UNIONS TO JUSTIFY THEIR DECISION TO NOT ALLOW BLACK WORKERS INTO THEIR UNION HE PREVAILING,0.9684,0,按低分词及模态掩码复核,False
-wny0OAz3g8$_$2,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",SERVICE WERE AND BECAUSE THEY COULDN'T GET THESE JOBS BLACK COMMUNITIES HAD MORE MEN OUT OF WORK HIGHERRATES OF POVERTY AND MORE CRIMINAL BEHAVIOR WHICH THAT,0.965,0,按低分词及模态掩码复核,False
-wny0OAz3g8$_$5,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",EMSELVES THIS IS WHAT'S NOW KNOWN AS RACIAL FORMATION THEORY A THEORY FORMALIZED BY MODERN SOCIOLOGIST MICHAEL OMY AND HOWARD WINNANT RACIAL FORM,0.9154,0,按低分词及模态掩码复核,False
-wny0OAz3g8$_$7,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,FORCES OMY AN WENNAT ARGUE THAT THE CONCEPT OF RACE CAME ABOUT AS A TOOL TO JUSTIFY IN MAINTAIN THE ECONOMIC AND POLITICAL POWER HELD BY THOSE OF EUROPEAN DESCENT ANOTHER,0.9211,0,按低分词及模态掩码复核,False
-wny0OAz3g8$_$9,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",WILSON HE EXPLORES WHY BLOCK AND WHITE AMERICANS TEND TO HAVE SUCH DIFFERENT OUTCOMES IN TERMS OF INCOME EDUCATION AND MORE AND HE ARE,0.9336,0,按低分词及模态掩码复核,False
-571d8cVauQ$_$0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",IS IS RED RIGER WHITECASPING STUDIOS ON BEHALF OF EXPERT VILLAGE WHI,0.7135,2,按低分词及模态掩码复核,False
-571d8cVauQ$_$5,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",AS SO VERY IMPORTANT T GO OUT TO THE LOCATIONS WALK AROUND TALK WITH THE OWNERS IF YOU CAN TELL THEM WHAT YOU'RE DOING BUILD A LITTLE EXCITEMENT PUT A LITTLE GLITZ ON THERE AND LET EVERYBODY KNOW THIS IS A VERY VALUABLE SPOT THIS IS GOOTG,0.9138,1,按低分词及模态掩码复核,False
-I_e4mIh0yE$_$1,In the United States we don't punish failure to the degree to which failure is punished in Europe.,SHIP IN THE UNITED STATES WE DON'T PUNISH FAILURE TO THE DEGREE TO WHICH FAILURE IS PUNISHED IN EUROPE A,0.9843,0,按低分词及模态掩码复核,False
-I_e4mIh0yE$_$3,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",IT'S PERCEIVED THAT YOU'VE ACTUALLY TS IT'S PERCEIVED THAT YOU'VE ACTUALLY LEARNED SOMETHING AH OVER THE COURSEEER CAREER AND THAT YOU WON'T MAKE THE MISTAKE TWICE MY,0.8408,1,按低分词及模态掩码复核,False
-UacrmKiTn4$_$10,"Because, if they are not in any way held accountable for reading the material they won't do it.",READING IT BECAUSE IF THEY ARE NOT IN ANY WAY HELD ACCOUNTABLE FOR READING THE MATERIAL THEY WON'T DO IT,0.9385,0,按低分词及模态掩码复核,False
-UacrmKiTn4$_$4,Just given to their own devices they are not going to read the textbook.,JUST GIVEN TO THEIR OWN DEVICES THEY ARE NOT GOING TO READ THE TEXT BOOK AND,0.9931,0,按低分词及模态掩码复核,False
-hnBHBN8p5A$_$7,"Picture this, before we actually start hacking, we’re in a room formal setting",THE MAJORITY OF AN ENTIRE NATION TO BELIEVE IN TRUST HIS OR HER WORDS ISN'T THAT,0.0031,13,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-hnBHBN8p5A$_$6,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",TO FOLLOW JUST ONE RISION U NEVER WONDERED HOW A SINGLE,0.0778,12,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-qDkUB0GgYY$_$6,"We always love to hear what you say, and like and share this video as well.",WITH US WE ALWAYS LOVE TO HEAR WHAT YOU E SAY AND LIKENTRS THAT YOU AS WELL AND,0.6676,3,按低分词及模态掩码复核,False
-uywlfIYOS8$_$4,"And then from a brand point of view, we need to make sure we're driving the relevant insight.",IGORY IS NOT OVER DEVELOPED AND THEN FROM A BRAND POINT OF VIEW WE NEED TO MAKE SURE THAT WE'RE DRIVING THE REL OF AN INSIGHT,0.902,0,按低分词及模态掩码复核,False
-6rXp3zJ3kc$_$8,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,AWARE OF MANY PEOPLE ARE NOT UNTIL THEY GET TO BE A OLDER AGE AND THEY REALIZED THAT GASHEF THEY'VE WASTED A LOT OF TIME AND MONEY IN IN PLACING BATS ON STOCK THAT'S ULTIMATELY LOST VALUE,0.9514,0,按低分词及模态掩码复核,False
-9y-fZ3swSY$_$0,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",BERS EVEN SAY HEY YOU'L NOT I REALLY LIKE BABY'S KID THIT'S SO SOFT THEY DON'T HAVE ANY HAIR ON THE FACE IT'S SO,0.6323,4,按低分词及模态掩码复核,False
-9y-fZ3swSY$_$4,I’ve seen this in US or in the US,IVE SENLES A NESS OR IN THE EST,0.4965,2,按低分词及模态掩码复核,False
-9y-fZ3swSY$_$8,That’s a more decent and more polite way to call a lady,A'AM THAT'S A MORE DECENT AND MORE POLITE WAY TO CALL A LADY AND,0.8757,0,按低分词及模态掩码复核,False
-AUZQgSxyPQ$_$2,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",THE PERFECT SOL MAN TO THE CLARASYNIC SPOT VERFE BRUSH THIS GENTLE PGE BALANCED AND HYDRATING EXCOLIEN CONTAINS AHOBA IN A KAI FRUGOIL WITH BAMBOO AND QUICKLY VER EXTRACTS THESE DELIVERED INTENSE HEALING WHILE SMOOTH GRANOS PUFF AWAY DEAD DRY SKIN JEN,0.7102,3,按低分词及模态掩码复核,False
-HeZS2-Prhc$_$2,The August jobs report is out and it was seen overall as solid but not great.,IT TO DAY AH THE AUGUST JOBS REPORT ES OUT AND IT WAS SEEN OVER ALL A SOLID BUT NOT CRATE THE REPORT,0.7921,1,按低分词及模态掩码复核,False
-MeTTeMJBNc$_$0,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",OQUEY WHAT HAPPENS AT THIS POINT AFTER WE HAVE TAKEN THIS BRIEF WALK DOWN MEMORY LANE IS THE PRESENTATION OF THE GIFT,0.9356,0,按低分词及模态掩码复核,False
-MeTTeMJBNc$_$13,"It just needs to be a simple statement, and then you present the gift.",R IT IS JEST NEEDS TO BE A SIMPLE STATEMENT AND THEN YOU PRESENT THE GIFT,0.9671,0,按低分词及模态掩码复核,False
-MeTTeMJBNc$_$7,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",ICTURE MAYBE YOU COULD FIND A PICTURE OF THE COUPLE FROM THEIR WEDDING OR SOMETIME IN THEIR LIFE OR MAYBE EVEN A CURRENT PICTURE AND HAV TO PUT IN A BEAUTIFUL FRAME,0.8951,1,按低分词及模态掩码复核,False
-RfYyzHpjk4$_$11,"So get your friends lined up, get your business colleagues lined up and have a good time.",SO IM GET YOUR FRIEND'S LIND UP GET YOUR BUSINESS COLLEGS LIND UP AND HAVE A GOOD TIME CATHY,0.8891,0,按低分词及模态掩码复核,False
-RfYyzHpjk4$_$8,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time.",IT'S PRETTY PRETTY EASY TO DO BUT YOU'VE GOT TO SET UP THOSE NUMBERS AHEAD OF TIME YOU,0.9364,0,按低分词及模态掩码复核,False
-RfYyzHpjk4$_$2,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do.",IT CAN MAKE A CONFERENCE CALL BUT A TEXT TRIED A BIT OF PLAN ANG WELE NOT A LOT OF PLANING IT'S PRETTY EASY TO DO WHAT I,0.6722,4,按低分词及模态掩码复核,False
-UUCSKoHeMA$_$0,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly.",OKA MENTIONED A WORD AN THE LAST CLIP CALLED MONOTONE AND I WANT TO TALK ABOUT THAT BRIEFLY WHAT YOU,0.8882,0,按低分词及模态掩码复核,False
-ri04Z7vwnc$_$0,going to get married or are already married,AN,0.0312,7,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-ri04Z7vwnc$_$2,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important",UU U Y I'M A GENTE,0.0029,16,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-ri04Z7vwnc$_$5,""" So I think it's important to discuss finances",AF AND A LOT OF PEOPLE WHO ARE WORKING OR YOUN MONEY IS VERY WAT,0.0061,8,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
-s9qJ7ATP7w$_$1,"But the hardest thing in life to learn, is to lose",THAT THE THE HARDEST THING IN LIFE TO LEARN IS TO LOSE WINNING'S EASY,0.8609,1,按低分词及模态掩码复核,False
-s9qJ7ATP7w$_$0,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up",AA DOUBT THEY HAVE FEAR THEY LOSING A FORIRY RACE OR DE LOSEIN A RACE AND THEN THEY JUST GIVE UP,0.7959,1,按低分词及模态掩码复核,False
-s9qJ7ATP7w$_$5,"I have been beat up and put down and everything that can go wrong, has gone wrong for me",THA WE HAVE I HAVE BEEN BEAT UP AND PUT DOWN AND EVERYTHING THAT CAN GO WRONG HAS GONE WRONG FOR ME BUT,0.9209,1,按低分词及模态掩码复核,False
