id,modality,original_duration_s,sequence_positions,feature_dimension,valid_positions,granularity,padding,source_video
-3g5yACwYnA$_$13,text,5.514,15,768,15,word,none; full ragged sequence,-3g5yACwYnA/13.mp4
-HwX2H8Z4hY$_$6,text,3.3581,7,768,7,word,none; full ragged sequence,-HwX2H8Z4hY/6.mp4
-HwX2H8Z4hY$_$6,audio,3.3581,7,50,7,word,none; full ragged sequence,-HwX2H8Z4hY/6.mp4
-HwX2H8Z4hY$_$6,vision,3.3581,7,110,5,word,none; full ragged sequence,-HwX2H8Z4hY/6.mp4
-HwX2H8Z4hY$_$9,text,7.734,22,768,22,word,none; full ragged sequence,-HwX2H8Z4hY/9.mp4
-HwX2H8Z4hY$_$9,audio,7.734,22,50,22,word,none; full ragged sequence,-HwX2H8Z4hY/9.mp4
-HwX2H8Z4hY$_$9,vision,7.734,22,110,0,word,none; full ragged sequence,-HwX2H8Z4hY/9.mp4
-NFrJFQijFE$_$1,text,5.746,16,768,16,word,none; full ragged sequence,-NFrJFQijFE/1.mp4
-NFrJFQijFE$_$1,audio,5.746,16,50,16,word,none; full ragged sequence,-NFrJFQijFE/1.mp4
-NFrJFQijFE$_$1,vision,5.746,16,110,0,word,none; full ragged sequence,-NFrJFQijFE/1.mp4
-NFrJFQijFE$_$2,text,6.856,18,768,18,word,none; full ragged sequence,-NFrJFQijFE/2.mp4
-NFrJFQijFE$_$2,audio,6.856,18,50,18,word,none; full ragged sequence,-NFrJFQijFE/2.mp4
-NFrJFQijFE$_$2,vision,6.856,18,110,0,word,none; full ragged sequence,-NFrJFQijFE/2.mp4
-THoVjtIkeU$_$12,text,14.8961,39,768,39,word,none; full ragged sequence,-THoVjtIkeU/12.mp4
-THoVjtIkeU$_$12,audio,14.8961,39,50,39,word,none; full ragged sequence,-THoVjtIkeU/12.mp4
-THoVjtIkeU$_$12,vision,14.8961,39,110,39,word,none; full ragged sequence,-THoVjtIkeU/12.mp4
-THoVjtIkeU$_$2,text,4.292,10,768,10,word,none; full ragged sequence,-THoVjtIkeU/2.mp4
-THoVjtIkeU$_$2,audio,4.292,10,50,10,word,none; full ragged sequence,-THoVjtIkeU/2.mp4
-THoVjtIkeU$_$2,vision,4.292,10,110,10,word,none; full ragged sequence,-THoVjtIkeU/2.mp4
-THoVjtIkeU$_$6,text,8.0971,30,768,30,word,none; full ragged sequence,-THoVjtIkeU/6.mp4
-THoVjtIkeU$_$6,audio,8.0971,30,50,30,word,none; full ragged sequence,-THoVjtIkeU/6.mp4
-THoVjtIkeU$_$6,vision,8.0971,30,110,30,word,none; full ragged sequence,-THoVjtIkeU/6.mp4
-UuX1xuaiiE$_$1,text,10.35,27,768,27,word,none; full ragged sequence,-UuX1xuaiiE/1.mp4
-UuX1xuaiiE$_$1,audio,10.35,27,50,27,word,none; full ragged sequence,-UuX1xuaiiE/1.mp4
-UuX1xuaiiE$_$1,vision,10.35,27,110,1,word,none; full ragged sequence,-UuX1xuaiiE/1.mp4
-UuX1xuaiiE$_$0,text,3.6334,9,768,9,word,none; full ragged sequence,-UuX1xuaiiE/0.mp4
-UuX1xuaiiE$_$0,audio,3.6334,9,50,9,word,none; full ragged sequence,-UuX1xuaiiE/0.mp4
-UuX1xuaiiE$_$0,vision,3.6334,9,110,6,word,none; full ragged sequence,-UuX1xuaiiE/0.mp4
-UuX1xuaiiE$_$3,text,4.1301,9,768,9,word,none; full ragged sequence,-UuX1xuaiiE/3.mp4
-UuX1xuaiiE$_$3,audio,4.1301,9,50,9,word,none; full ragged sequence,-UuX1xuaiiE/3.mp4
-UuX1xuaiiE$_$3,vision,4.1301,9,110,9,word,none; full ragged sequence,-UuX1xuaiiE/3.mp4
-UuX1xuaiiE$_$6,text,8.114,22,768,22,word,none; full ragged sequence,-UuX1xuaiiE/6.mp4
-UuX1xuaiiE$_$6,audio,8.114,22,50,22,word,none; full ragged sequence,-UuX1xuaiiE/6.mp4
-UuX1xuaiiE$_$6,vision,8.114,22,110,22,word,none; full ragged sequence,-UuX1xuaiiE/6.mp4
-a55Q6RWvTA$_$3,text,22.154,65,768,65,word,none; full ragged sequence,-a55Q6RWvTA/3.mp4
-a55Q6RWvTA$_$3,audio,22.154,65,50,65,word,none; full ragged sequence,-a55Q6RWvTA/3.mp4
-a55Q6RWvTA$_$3,vision,22.154,65,110,61,word,none; full ragged sequence,-a55Q6RWvTA/3.mp4
-aNfi7CP8vM$_$7,text,8.695,18,768,18,word,none; full ragged sequence,-aNfi7CP8vM/7.mp4
-aNfi7CP8vM$_$7,audio,8.695,18,50,18,word,none; full ragged sequence,-aNfi7CP8vM/7.mp4
-aNfi7CP8vM$_$7,vision,8.695,18,110,18,word,none; full ragged sequence,-aNfi7CP8vM/7.mp4
-aqamKhZ1Ec$_$0,text,10.9667,14,768,14,word,none; full ragged sequence,-aqamKhZ1Ec/0.mp4
-aqamKhZ1Ec$_$0,audio,10.9667,14,50,14,word,none; full ragged sequence,-aqamKhZ1Ec/0.mp4
-aqamKhZ1Ec$_$0,vision,10.9667,14,110,14,word,none; full ragged sequence,-aqamKhZ1Ec/0.mp4
-dxfTGcXJoc$_$1,text,16.1611,36,768,36,word,none; full ragged sequence,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc$_$1,audio,16.1611,36,50,36,word,none; full ragged sequence,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc$_$1,vision,16.1611,36,110,36,word,none; full ragged sequence,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc$_$0,text,20.5,40,768,40,word,none; full ragged sequence,-dxfTGcXJoc/0.mp4
-dxfTGcXJoc$_$0,audio,20.5,40,50,40,word,none; full ragged sequence,-dxfTGcXJoc/0.mp4
-dxfTGcXJoc$_$0,vision,20.5,40,110,32,word,none; full ragged sequence,-dxfTGcXJoc/0.mp4
-dxfTGcXJoc$_$2,text,16.698,34,768,34,word,none; full ragged sequence,-dxfTGcXJoc/2.mp4
-dxfTGcXJoc$_$2,audio,16.698,34,50,34,word,none; full ragged sequence,-dxfTGcXJoc/2.mp4
-dxfTGcXJoc$_$2,vision,16.698,34,110,34,word,none; full ragged sequence,-dxfTGcXJoc/2.mp4
-dxfTGcXJoc$_$6,text,12.7351,28,768,28,word,none; full ragged sequence,-dxfTGcXJoc/6.mp4
-dxfTGcXJoc$_$6,audio,12.7351,28,50,28,word,none; full ragged sequence,-dxfTGcXJoc/6.mp4
-dxfTGcXJoc$_$6,vision,12.7351,28,110,28,word,none; full ragged sequence,-dxfTGcXJoc/6.mp4
-egA8-b7-3M$_$26,text,6.031,15,768,15,word,none; full ragged sequence,-egA8-b7-3M/26.mp4
-egA8-b7-3M$_$26,audio,6.031,15,50,15,word,none; full ragged sequence,-egA8-b7-3M/26.mp4
-egA8-b7-3M$_$26,vision,6.031,15,110,15,word,none; full ragged sequence,-egA8-b7-3M/26.mp4
-egA8-b7-3M$_$17,text,7.2711,16,768,16,word,none; full ragged sequence,-egA8-b7-3M/17.mp4
-egA8-b7-3M$_$17,audio,7.2711,16,50,16,word,none; full ragged sequence,-egA8-b7-3M/17.mp4
-egA8-b7-3M$_$17,vision,7.2711,16,110,16,word,none; full ragged sequence,-egA8-b7-3M/17.mp4
-egA8-b7-3M$_$18,text,8.3861,22,768,22,word,none; full ragged sequence,-egA8-b7-3M/18.mp4
-egA8-b7-3M$_$18,audio,8.3861,22,50,22,word,none; full ragged sequence,-egA8-b7-3M/18.mp4
-egA8-b7-3M$_$18,vision,8.3861,22,110,22,word,none; full ragged sequence,-egA8-b7-3M/18.mp4
-egA8-b7-3M$_$16,text,5.5381,11,768,11,word,none; full ragged sequence,-egA8-b7-3M/16.mp4
-egA8-b7-3M$_$16,audio,5.5381,11,50,11,word,none; full ragged sequence,-egA8-b7-3M/16.mp4
-egA8-b7-3M$_$16,vision,5.5381,11,110,11,word,none; full ragged sequence,-egA8-b7-3M/16.mp4
-egA8-b7-3M$_$13,text,4.184,11,768,11,word,none; full ragged sequence,-egA8-b7-3M/13.mp4
-egA8-b7-3M$_$13,audio,4.184,11,50,11,word,none; full ragged sequence,-egA8-b7-3M/13.mp4
-egA8-b7-3M$_$13,vision,4.184,11,110,11,word,none; full ragged sequence,-egA8-b7-3M/13.mp4
-egA8-b7-3M$_$1,text,10.2661,20,768,20,word,none; full ragged sequence,-egA8-b7-3M/1.mp4
-egA8-b7-3M$_$1,audio,10.2661,20,50,20,word,none; full ragged sequence,-egA8-b7-3M/1.mp4
-egA8-b7-3M$_$1,vision,10.2661,20,110,20,word,none; full ragged sequence,-egA8-b7-3M/1.mp4
-egA8-b7-3M$_$6,text,6.265,12,768,12,word,none; full ragged sequence,-egA8-b7-3M/6.mp4
-egA8-b7-3M$_$6,audio,6.265,12,50,12,word,none; full ragged sequence,-egA8-b7-3M/6.mp4
-egA8-b7-3M$_$6,vision,6.265,12,110,12,word,none; full ragged sequence,-egA8-b7-3M/6.mp4
-egA8-b7-3M$_$9,text,5.09,10,768,10,word,none; full ragged sequence,-egA8-b7-3M/9.mp4
-egA8-b7-3M$_$9,audio,5.09,10,50,10,word,none; full ragged sequence,-egA8-b7-3M/9.mp4
-egA8-b7-3M$_$9,vision,5.09,10,110,10,word,none; full ragged sequence,-egA8-b7-3M/9.mp4
-egA8-b7-3M$_$20,text,6.645,20,768,20,word,none; full ragged sequence,-egA8-b7-3M/20.mp4
-egA8-b7-3M$_$20,audio,6.645,20,50,20,word,none; full ragged sequence,-egA8-b7-3M/20.mp4
-egA8-b7-3M$_$20,vision,6.645,20,110,20,word,none; full ragged sequence,-egA8-b7-3M/20.mp4
-iRBcNs9oI8$_$3,text,5.621,8,768,8,word,none; full ragged sequence,-iRBcNs9oI8/3.mp4
-iRBcNs9oI8$_$3,audio,5.621,8,50,8,word,none; full ragged sequence,-iRBcNs9oI8/3.mp4
-iRBcNs9oI8$_$3,vision,5.621,8,110,0,word,none; full ragged sequence,-iRBcNs9oI8/3.mp4
-iRBcNs9oI8$_$7,text,4.104,9,768,9,word,none; full ragged sequence,-iRBcNs9oI8/7.mp4
-iRBcNs9oI8$_$7,audio,4.104,9,50,9,word,none; full ragged sequence,-iRBcNs9oI8/7.mp4
-iRBcNs9oI8$_$7,vision,4.104,9,110,0,word,none; full ragged sequence,-iRBcNs9oI8/7.mp4
-iRBcNs9oI8$_$6,text,2.903,5,768,5,word,none; full ragged sequence,-iRBcNs9oI8/6.mp4
-iRBcNs9oI8$_$6,audio,2.903,5,50,5,word,none; full ragged sequence,-iRBcNs9oI8/6.mp4
-iRBcNs9oI8$_$6,vision,2.903,5,110,0,word,none; full ragged sequence,-iRBcNs9oI8/6.mp4
-iRBcNs9oI8$_$9,text,3.416,5,768,5,word,none; full ragged sequence,-iRBcNs9oI8/9.mp4
-iRBcNs9oI8$_$9,audio,3.416,5,50,5,word,none; full ragged sequence,-iRBcNs9oI8/9.mp4
-iRBcNs9oI8$_$9,vision,3.416,5,110,0,word,none; full ragged sequence,-iRBcNs9oI8/9.mp4
-iRBcNs9oI8$_$8,text,8.093,21,768,21,word,none; full ragged sequence,-iRBcNs9oI8/8.mp4
-iRBcNs9oI8$_$8,audio,8.093,21,50,21,word,none; full ragged sequence,-iRBcNs9oI8/8.mp4
-iRBcNs9oI8$_$8,vision,8.093,21,110,0,word,none; full ragged sequence,-iRBcNs9oI8/8.mp4
-lzEya4AM_4$_$5,text,7.675,19,768,19,word,none; full ragged sequence,-lzEya4AM_4/5.mp4
-lzEya4AM_4$_$5,audio,7.675,19,50,19,word,none; full ragged sequence,-lzEya4AM_4/5.mp4
-lzEya4AM_4$_$5,vision,7.675,19,110,19,word,none; full ragged sequence,-lzEya4AM_4/5.mp4
-lzEya4AM_4$_$6,text,14.792,43,768,43,word,none; full ragged sequence,-lzEya4AM_4/6.mp4
-lzEya4AM_4$_$6,audio,14.792,43,50,43,word,none; full ragged sequence,-lzEya4AM_4/6.mp4
-lzEya4AM_4$_$6,vision,14.792,43,110,43,word,none; full ragged sequence,-lzEya4AM_4/6.mp4
-mJ2ud6oKI8$_$1,text,6.103,13,768,13,word,none; full ragged sequence,-mJ2ud6oKI8/1.mp4
-mJ2ud6oKI8$_$1,audio,6.103,13,50,13,word,none; full ragged sequence,-mJ2ud6oKI8/1.mp4
-mJ2ud6oKI8$_$1,vision,6.103,13,110,0,word,none; full ragged sequence,-mJ2ud6oKI8/1.mp4
-mJ2ud6oKI8$_$2,text,5.731,11,768,11,word,none; full ragged sequence,-mJ2ud6oKI8/2.mp4
-mJ2ud6oKI8$_$2,audio,5.731,11,50,11,word,none; full ragged sequence,-mJ2ud6oKI8/2.mp4
-mJ2ud6oKI8$_$2,vision,5.731,11,110,0,word,none; full ragged sequence,-mJ2ud6oKI8/2.mp4
-mJ2ud6oKI8$_$6,text,2.257,5,768,5,word,none; full ragged sequence,-mJ2ud6oKI8/6.mp4
-mJ2ud6oKI8$_$6,audio,2.257,5,50,5,word,none; full ragged sequence,-mJ2ud6oKI8/6.mp4
-mJ2ud6oKI8$_$6,vision,2.257,5,110,5,word,none; full ragged sequence,-mJ2ud6oKI8/6.mp4
-mJ2ud6oKI8$_$9,text,7.033,22,768,22,word,none; full ragged sequence,-mJ2ud6oKI8/9.mp4
-mJ2ud6oKI8$_$9,audio,7.033,22,50,22,word,none; full ragged sequence,-mJ2ud6oKI8/9.mp4
-mJ2ud6oKI8$_$9,vision,7.033,22,110,22,word,none; full ragged sequence,-mJ2ud6oKI8/9.mp4
-mJ2ud6oKI8$_$8,text,4.192,11,768,11,word,none; full ragged sequence,-mJ2ud6oKI8/8.mp4
-mJ2ud6oKI8$_$8,audio,4.192,11,50,11,word,none; full ragged sequence,-mJ2ud6oKI8/8.mp4
-mJ2ud6oKI8$_$8,vision,4.192,11,110,11,word,none; full ragged sequence,-mJ2ud6oKI8/8.mp4
-mqbVkbCndg$_$0,text,6.4667,14,768,14,word,none; full ragged sequence,-mqbVkbCndg/0.mp4
-mqbVkbCndg$_$0,audio,6.4667,14,50,14,word,none; full ragged sequence,-mqbVkbCndg/0.mp4
-mqbVkbCndg$_$0,vision,6.4667,14,110,14,word,none; full ragged sequence,-mqbVkbCndg/0.mp4
-t217m2on-s$_$2,text,5.6861,12,768,12,word,none; full ragged sequence,-t217m2on-s/2.mp4
-t217m2on-s$_$2,audio,5.6861,12,50,12,word,none; full ragged sequence,-t217m2on-s/2.mp4
-t217m2on-s$_$2,vision,5.6861,12,110,12,word,none; full ragged sequence,-t217m2on-s/2.mp4
-t217m2on-s$_$7,text,17.1831,45,768,45,word,none; full ragged sequence,-t217m2on-s/7.mp4
-t217m2on-s$_$7,audio,17.1831,45,50,45,word,none; full ragged sequence,-t217m2on-s/7.mp4
-t217m2on-s$_$7,vision,17.1831,45,110,45,word,none; full ragged sequence,-t217m2on-s/7.mp4
-tANM6ETl_M$_$3,text,6.7581,22,768,22,word,none; full ragged sequence,-tANM6ETl_M/3.mp4
-tANM6ETl_M$_$3,audio,6.7581,22,50,22,word,none; full ragged sequence,-tANM6ETl_M/3.mp4
-tANM6ETl_M$_$3,vision,6.7581,22,110,22,word,none; full ragged sequence,-tANM6ETl_M/3.mp4
-tPCytz4rww$_$11,text,5.467,17,768,17,word,none; full ragged sequence,-tPCytz4rww/11.mp4
-tPCytz4rww$_$11,audio,5.467,17,50,17,word,none; full ragged sequence,-tPCytz4rww/11.mp4
-tPCytz4rww$_$11,vision,5.467,17,110,17,word,none; full ragged sequence,-tPCytz4rww/11.mp4
-tPCytz4rww$_$10,text,4.789,12,768,12,word,none; full ragged sequence,-tPCytz4rww/10.mp4
-tPCytz4rww$_$10,audio,4.789,12,50,12,word,none; full ragged sequence,-tPCytz4rww/10.mp4
-tPCytz4rww$_$10,vision,4.789,12,110,12,word,none; full ragged sequence,-tPCytz4rww/10.mp4
-tPCytz4rww$_$12,text,11.864,26,768,26,word,none; full ragged sequence,-tPCytz4rww/12.mp4
-tPCytz4rww$_$12,audio,11.864,26,50,26,word,none; full ragged sequence,-tPCytz4rww/12.mp4
-tPCytz4rww$_$12,vision,11.864,26,110,26,word,none; full ragged sequence,-tPCytz4rww/12.mp4
-tPCytz4rww$_$16,text,7.206,16,768,16,word,none; full ragged sequence,-tPCytz4rww/16.mp4
-tPCytz4rww$_$16,audio,7.206,16,50,16,word,none; full ragged sequence,-tPCytz4rww/16.mp4
-tPCytz4rww$_$16,vision,7.206,16,110,16,word,none; full ragged sequence,-tPCytz4rww/16.mp4
-tPCytz4rww$_$18,text,6.645,16,768,16,word,none; full ragged sequence,-tPCytz4rww/18.mp4
-tPCytz4rww$_$18,audio,6.645,16,50,16,word,none; full ragged sequence,-tPCytz4rww/18.mp4
-tPCytz4rww$_$18,vision,6.645,16,110,16,word,none; full ragged sequence,-tPCytz4rww/18.mp4
-vxjVxOeScU$_$4,text,9.1271,21,768,21,word,none; full ragged sequence,-vxjVxOeScU/4.mp4
-vxjVxOeScU$_$4,audio,9.1271,21,50,21,word,none; full ragged sequence,-vxjVxOeScU/4.mp4
-vxjVxOeScU$_$4,vision,9.1271,21,110,21,word,none; full ragged sequence,-vxjVxOeScU/4.mp4
-wMB_hJL-3o$_$7,text,6.0441,22,768,22,word,none; full ragged sequence,-wMB_hJL-3o/7.mp4
-wMB_hJL-3o$_$7,audio,6.0441,22,50,22,word,none; full ragged sequence,-wMB_hJL-3o/7.mp4
-wMB_hJL-3o$_$7,vision,6.0441,22,110,22,word,none; full ragged sequence,-wMB_hJL-3o/7.mp4
-wny0OAz3g8$_$1,text,6.8441,22,768,22,word,none; full ragged sequence,-wny0OAz3g8/1.mp4
-wny0OAz3g8$_$1,audio,6.8441,22,50,22,word,none; full ragged sequence,-wny0OAz3g8/1.mp4
-wny0OAz3g8$_$1,vision,6.8441,22,110,1,word,none; full ragged sequence,-wny0OAz3g8/1.mp4
-wny0OAz3g8$_$0,text,3.3334,9,768,9,word,none; full ragged sequence,-wny0OAz3g8/0.mp4
-wny0OAz3g8$_$0,audio,3.3334,9,50,9,word,none; full ragged sequence,-wny0OAz3g8/0.mp4
-wny0OAz3g8$_$0,vision,3.3334,9,110,9,word,none; full ragged sequence,-wny0OAz3g8/0.mp4
-wny0OAz3g8$_$3,text,6.1461,20,768,20,word,none; full ragged sequence,-wny0OAz3g8/3.mp4
-wny0OAz3g8$_$3,audio,6.1461,20,50,20,word,none; full ragged sequence,-wny0OAz3g8/3.mp4
-wny0OAz3g8$_$3,vision,6.1461,20,110,0,word,none; full ragged sequence,-wny0OAz3g8/3.mp4
-wny0OAz3g8$_$2,text,6.687,23,768,23,word,none; full ragged sequence,-wny0OAz3g8/2.mp4
-wny0OAz3g8$_$2,audio,6.687,23,50,23,word,none; full ragged sequence,-wny0OAz3g8/2.mp4
-wny0OAz3g8$_$2,vision,6.687,23,110,23,word,none; full ragged sequence,-wny0OAz3g8/2.mp4
-wny0OAz3g8$_$5,text,6.912,20,768,20,word,none; full ragged sequence,-wny0OAz3g8/5.mp4
-wny0OAz3g8$_$5,audio,6.912,20,50,20,word,none; full ragged sequence,-wny0OAz3g8/5.mp4
-wny0OAz3g8$_$5,vision,6.912,20,110,1,word,none; full ragged sequence,-wny0OAz3g8/5.mp4
-wny0OAz3g8$_$7,text,8.068,29,768,29,word,none; full ragged sequence,-wny0OAz3g8/7.mp4
-wny0OAz3g8$_$7,audio,8.068,29,50,29,word,none; full ragged sequence,-wny0OAz3g8/7.mp4
-wny0OAz3g8$_$7,vision,8.068,29,110,10,word,none; full ragged sequence,-wny0OAz3g8/7.mp4
-wny0OAz3g8$_$9,text,6.2131,20,768,20,word,none; full ragged sequence,-wny0OAz3g8/9.mp4
-wny0OAz3g8$_$9,audio,6.2131,20,50,20,word,none; full ragged sequence,-wny0OAz3g8/9.mp4
-wny0OAz3g8$_$9,vision,6.2131,20,110,20,word,none; full ragged sequence,-wny0OAz3g8/9.mp4
-571d8cVauQ$_$0,text,5.0667,12,768,12,word,none; full ragged sequence,-571d8cVauQ/0.mp4
-571d8cVauQ$_$0,audio,5.0667,12,50,12,word,none; full ragged sequence,-571d8cVauQ/0.mp4
-571d8cVauQ$_$0,vision,5.0667,12,110,12,word,none; full ragged sequence,-571d8cVauQ/0.mp4
-571d8cVauQ$_$5,text,15.273,43,768,43,word,none; full ragged sequence,-571d8cVauQ/5.mp4
-571d8cVauQ$_$5,audio,15.273,43,50,43,word,none; full ragged sequence,-571d8cVauQ/5.mp4
-571d8cVauQ$_$5,vision,15.273,43,110,43,word,none; full ragged sequence,-571d8cVauQ/5.mp4
-I_e4mIh0yE$_$1,text,7.6221,18,768,18,word,none; full ragged sequence,-I_e4mIh0yE/1.mp4
-I_e4mIh0yE$_$1,audio,7.6221,18,50,18,word,none; full ragged sequence,-I_e4mIh0yE/1.mp4
-I_e4mIh0yE$_$1,vision,7.6221,18,110,18,word,none; full ragged sequence,-I_e4mIh0yE/1.mp4
-I_e4mIh0yE$_$3,text,9.1631,22,768,22,word,none; full ragged sequence,-I_e4mIh0yE/3.mp4
-I_e4mIh0yE$_$3,audio,9.1631,22,50,22,word,none; full ragged sequence,-I_e4mIh0yE/3.mp4
-I_e4mIh0yE$_$3,vision,9.1631,22,110,22,word,none; full ragged sequence,-I_e4mIh0yE/3.mp4
-UacrmKiTn4$_$10,text,7.362,18,768,18,word,none; full ragged sequence,-UacrmKiTn4/10.mp4
-UacrmKiTn4$_$10,audio,7.362,18,50,18,word,none; full ragged sequence,-UacrmKiTn4/10.mp4
-UacrmKiTn4$_$10,vision,7.362,18,110,18,word,none; full ragged sequence,-UacrmKiTn4/10.mp4
-UacrmKiTn4$_$4,text,4.7411,14,768,14,word,none; full ragged sequence,-UacrmKiTn4/4.mp4
-UacrmKiTn4$_$4,audio,4.7411,14,50,14,word,none; full ragged sequence,-UacrmKiTn4/4.mp4
-UacrmKiTn4$_$4,vision,4.7411,14,110,14,word,none; full ragged sequence,-UacrmKiTn4/4.mp4
-hnBHBN8p5A$_$7,text,7.372,13,768,13,word,none; full ragged sequence,-hnBHBN8p5A/7.mp4
-hnBHBN8p5A$_$7,audio,7.372,13,50,13,word,none; full ragged sequence,-hnBHBN8p5A/7.mp4
-hnBHBN8p5A$_$7,vision,7.372,13,110,0,word,none; full ragged sequence,-hnBHBN8p5A/7.mp4
-hnBHBN8p5A$_$6,text,6.401,13,768,13,word,none; full ragged sequence,-hnBHBN8p5A/6.mp4
-hnBHBN8p5A$_$6,audio,6.401,13,50,13,word,none; full ragged sequence,-hnBHBN8p5A/6.mp4
-hnBHBN8p5A$_$6,vision,6.401,13,110,0,word,none; full ragged sequence,-hnBHBN8p5A/6.mp4
-qDkUB0GgYY$_$6,text,4.678,16,768,16,word,none; full ragged sequence,-qDkUB0GgYY/6.mp4
-qDkUB0GgYY$_$6,audio,4.678,16,50,16,word,none; full ragged sequence,-qDkUB0GgYY/6.mp4
-qDkUB0GgYY$_$6,vision,4.678,16,110,16,word,none; full ragged sequence,-qDkUB0GgYY/6.mp4
-uywlfIYOS8$_$4,text,6.045,18,768,18,word,none; full ragged sequence,-uywlfIYOS8/4.mp4
-uywlfIYOS8$_$4,audio,6.045,18,50,18,word,none; full ragged sequence,-uywlfIYOS8/4.mp4
-uywlfIYOS8$_$4,vision,6.045,18,110,18,word,none; full ragged sequence,-uywlfIYOS8/4.mp4
-6rXp3zJ3kc$_$8,text,12.8051,34,768,34,word,none; full ragged sequence,-6rXp3zJ3kc/8.mp4
-6rXp3zJ3kc$_$8,audio,12.8051,34,50,34,word,none; full ragged sequence,-6rXp3zJ3kc/8.mp4
-6rXp3zJ3kc$_$8,vision,12.8051,34,110,34,word,none; full ragged sequence,-6rXp3zJ3kc/8.mp4
-9y-fZ3swSY$_$0,text,6.8334,22,768,22,word,none; full ragged sequence,-9y-fZ3swSY/0.mp4
-9y-fZ3swSY$_$0,audio,6.8334,22,50,22,word,none; full ragged sequence,-9y-fZ3swSY/0.mp4
-9y-fZ3swSY$_$0,vision,6.8334,22,110,22,word,none; full ragged sequence,-9y-fZ3swSY/0.mp4
-9y-fZ3swSY$_$4,text,2.8211,9,768,9,word,none; full ragged sequence,-9y-fZ3swSY/4.mp4
-9y-fZ3swSY$_$4,audio,2.8211,9,50,9,word,none; full ragged sequence,-9y-fZ3swSY/4.mp4
-9y-fZ3swSY$_$4,vision,2.8211,9,110,9,word,none; full ragged sequence,-9y-fZ3swSY/4.mp4
-9y-fZ3swSY$_$8,text,4.989,12,768,12,word,none; full ragged sequence,-9y-fZ3swSY/8.mp4
-9y-fZ3swSY$_$8,audio,4.989,12,50,12,word,none; full ragged sequence,-9y-fZ3swSY/8.mp4
-9y-fZ3swSY$_$8,vision,4.989,12,110,5,word,none; full ragged sequence,-9y-fZ3swSY/8.mp4
-AUZQgSxyPQ$_$2,text,22.5111,41,768,41,word,none; full ragged sequence,-AUZQgSxyPQ/2.mp4
-AUZQgSxyPQ$_$2,audio,22.5111,41,50,41,word,none; full ragged sequence,-AUZQgSxyPQ/2.mp4
-AUZQgSxyPQ$_$2,vision,22.5111,41,110,41,word,none; full ragged sequence,-AUZQgSxyPQ/2.mp4
-HeZS2-Prhc$_$2,text,8.262,16,768,16,word,none; full ragged sequence,-HeZS2-Prhc/2.mp4
